panel,measure,source,voice,n_cells,estimate,ci_lo,ci_hi,description,file,key
a,effort_ln_ratio,emoface,all,12,-0.0065316,-0.10444,0.11778,"brow ln ratio, effort step vs c100",data/derived/human_prediction_compare.csv,clean|brow_mean|effort
a,null_floor,emoface,all,,0.023694,,,median |ln ratio| of the two nulls vs c100,data/derived/null_floor.csv,clean|brow_mean|floor_median_abs
b,span_slope,emoface,all,12,-0.0082129,-0.10189,0.099051,brow ln-ratio slope per ln span factor,data/derived/dose_tables.csv,brow_mean|clean|span|m.amp|excl_fail False|all
b,dyn_slope,emoface,all,12,-0.0003384,-0.060801,0.061224,brow ln-ratio slope per ln loudness factor,data/derived/dose_tables.csv,brow_mean|clean|dyn|m.amp|excl_fail False|all
a,effort_ln_ratio,emotalk,all,12,0.10686,-0.09364,0.38179,"brow ln ratio, effort step vs c100",data/derived/human_prediction_compare.csv,clean|brow_mean|effort
a,null_floor,emotalk,all,,0.043846,,,median |ln ratio| of the two nulls vs c100,data/derived/null_floor.csv,clean|brow_mean|floor_median_abs
b,span_slope,emotalk,all,12,0.080499,-0.045136,0.23872,brow ln-ratio slope per ln span factor,data/derived/dose_tables.csv,brow_mean|clean|span|m.amp|excl_fail False|all
b,dyn_slope,emotalk,all,12,-0.11307,-0.40715,0.16405,brow ln-ratio slope per ln loudness factor,data/derived/dose_tables.csv,brow_mean|clean|dyn|m.amp|excl_fail False|all
a,effort_ln_ratio,emote,all,12,-0.014721,-0.10567,0.070071,"brow ln ratio, effort step vs c100",data/derived/human_prediction_compare.csv,clean|brow_mean|effort
a,null_floor,emote,all,,0.015328,,,median |ln ratio| of the two nulls vs c100,data/derived/null_floor.csv,clean|brow_mean|floor_median_abs
b,span_slope,emote,all,12,0.026525,-0.0076358,0.071898,brow ln-ratio slope per ln span factor,data/derived/dose_tables.csv,brow_mean|clean|span|m.amp|excl_fail False|all
b,dyn_slope,emote,all,12,0.006973,-0.06439,0.076967,brow ln-ratio slope per ln loudness factor,data/derived/dose_tables.csv,brow_mean|clean|dyn|m.amp|excl_fail False|all
a,effort_ln_ratio,medtalk,all,12,-0.072044,-0.13661,-0.010207,"brow ln ratio, effort step vs c100",data/derived/human_prediction_compare.csv,clean|brow_mean|effort
a,null_floor,medtalk,all,,0.02271,,,median |ln ratio| of the two nulls vs c100,data/derived/null_floor.csv,clean|brow_mean|floor_median_abs
b,span_slope,medtalk,all,12,-0.008423,-0.047365,0.033113,brow ln-ratio slope per ln span factor,data/derived/dose_tables.csv,brow_mean|clean|span|m.amp|excl_fail False|all
b,dyn_slope,medtalk,all,12,0.0023566,-0.054229,0.052332,brow ln-ratio slope per ln loudness factor,data/derived/dose_tables.csv,brow_mean|clean|dyn|m.amp|excl_fail False|all
a,effort_ln_ratio,f0_follower,all,12,0.42264,0.33814,0.51349,"brow ln ratio, effort step vs c100",data/derived/human_prediction_compare.csv,clean|brow_mean|effort
a,null_floor,f0_follower,all,,0.050928,,,median |ln ratio| of the two nulls vs c100,data/derived/null_floor.csv,clean|brow_mean|floor_median_abs
b,span_slope,f0_follower,all,12,0.47011,0.29253,0.64223,brow ln-ratio slope per ln span factor,data/derived/dose_tables.csv,brow_mean|clean|span|m.amp|excl_fail False|all
b,dyn_slope,f0_follower,all,12,0.095783,-0.0091922,0.24123,brow ln-ratio slope per ln loudness factor,data/derived/dose_tables.csv,brow_mean|clean|dyn|m.amp|excl_fail False|all
a,effort_ln_ratio,energy_follower,all,12,0.1379,0.10242,0.17486,"brow ln ratio, effort step vs c100",data/derived/human_prediction_compare.csv,clean|brow_mean|effort
a,null_floor,energy_follower,all,,0.0034059,,,median |ln ratio| of the two nulls vs c100,data/derived/null_floor.csv,clean|brow_mean|floor_median_abs
b,span_slope,energy_follower,all,12,0.0013659,-0.018144,0.023309,brow ln-ratio slope per ln span factor,data/derived/dose_tables.csv,brow_mean|clean|span|m.amp|excl_fail False|all
b,dyn_slope,energy_follower,all,12,0.54185,0.35668,0.7188,brow ln-ratio slope per ln loudness factor,data/derived/dose_tables.csv,brow_mean|clean|dyn|m.amp|excl_fail False|all
a,human_prediction,human,,,0.21715,0.089191,0.35893,what the same-actor human fit predicts for the effort step,data/derived/human_prediction_compare.csv,human_pred|human_ci_lo|human_ci_hi
a,decision_band,human,,,0.21715,0.108575,0.4343,"the x[0.5, 2] band drawn around the prediction in panel (a)",data/derived/human_prediction_compare.csv,0.5 and 2 times human_pred
a,human_observed,human,,,0.288258,0.203019,0.371016,"observed human brow ln ratio, RAVDESS strong vs normal takes (670 pairs, 24 actors)",code/human/g2_coefficients.json,"models > E7_common > W2_full > brow_mean > y_mean; interval from the same 4,000-draw bootstrap"
