participant,exp,voice_pair,actor,emotion,level,contrast,stim_language,listener_group,native_stimulus,H_side,ccr_raw,score_H,rt_ms,n_replays,catch_pass,in_primary
P01,1,rav04_hap,rav04,hap,normal,H_vs_E@normal,en,cn,0,left,2,-2,761,1,1,1
P01,1,rav12_fea_r2,rav12,fear,strong,H_vs_R@strong,en,cn,0,right,1,1,470,1,1,1
P01,1,rav18_dis,rav18,dis,strong,H_vs_R@strong,en,cn,0,left,2,-2,947,0,1,1
P01,1,rav16_hap,rav16,hap,normal,H_vs_E@normal,en,cn,0,left,3,-3,635,0,1,1
P01,1,rav02_ang,rav02,ang,normal,H_vs_E@normal,en,cn,0,left,0,0,593,0,1,1
P01,1,rav14_hap,rav14,hap,strong,H_vs_R@strong,en,cn,0,left,1,-1,599,0,1,1
P01,1,rav02_ang,rav02,ang,strong,H_vs_E@strong,en,cn,0,left,-1,1,673,0,1,1
P01,1,rav24_dis,rav24,dis,strong,H_vs_E@strong,en,cn,0,right,-1,-1,1690,0,1,1
P01,1,rav06_ang,rav06,ang,strong,H_vs_R@strong,en,cn,0,left,0,0,489,0,1,1
P01,1,rav12_fea_r2,rav12,fear,strong,H_vs_E@strong,en,cn,0,left,-2,2,1281,1,1,1
P01,1,rav02_dis,rav02,dis,normal,H_vs_E@normal,en,cn,0,right,-1,-1,1247,1,1,1
P01,1,rav02_dis,rav02,dis,strong,H_vs_R@strong,en,cn,0,left,0,0,970,0,1,1
P01,1,rav20_fea_r2,rav20,fear,strong,H_vs_E@strong,en,cn,0,left,0,0,840,1,1,1
P01,1,rav14_hap,rav14,hap,normal,H_vs_E@normal,en,cn,0,right,2,2,892,0,1,1
P01,1,rav10_fea,rav10,fear,strong,H_vs_R@strong,en,cn,0,left,2,-2,3003,0,1,1
P01,1,rav24_dis,rav24,dis,normal,H_vs_E@normal,en,cn,0,right,2,2,1274,0,1,1
P01,1,rav06_ang,rav06,ang,strong,H_vs_E@strong,en,cn,0,right,3,3,536,0,1,1
P01,1,rav12_fea_r2,rav12,fear,normal,H_vs_E@normal,en,cn,0,left,1,-1,873,0,1,1
P01,1,rav02_ang,rav02,ang,strong,H_vs_R@strong,en,cn,0,right,-2,-2,494,0,1,1
P01,1,rav06_ang,rav06,ang,normal,H_vs_E@normal,en,cn,0,right,1,1,2499,0,1,1
P01,1,rav04_hap,rav04,hap,strong,H_vs_R@strong,en,cn,0,right,0,0,589,0,1,1
P01,1,rav10_fea,rav10,fear,normal,H_vs_E@normal,en,cn,0,right,2,2,523,1,1,1
P01,1,rav24_dis,rav24,dis,strong,H_vs_R@strong,en,cn,0,left,3,-3,1100,0,1,1
P01,1,rav20_fea_r2,rav20,fear,normal,H_vs_E@normal,en,cn,0,left,0,0,1594,0,1,1
P01,1,rav10_fea,rav10,fear,strong,H_vs_E@strong,en,cn,0,right,1,1,1053,0,1,1
P01,1,rav04_hap,rav04,hap,strong,H_vs_E@strong,en,cn,0,left,3,-3,815,0,1,1
P01,1,rav14_hap,rav14,hap,strong,H_vs_E@strong,en,cn,0,right,-1,-1,719,0,1,1
